article_id;batch_#;article_#_in_batch;headline;sentiment_GPT4_A;sentiment_GPT4_B;sentiment_GPT4_C;sentiment_GPT4_D;sentiment_GPT4_E;sentiment_GPT4_F;sentiment_GPT4_G;sentiment_GPT4_H
35d0f68bb7be2fee0fd0990932773e3ff794d66777632e9e5c5c104f78d9b534;7;1;Google officially lays claim to quantum supremacy;positive;positive;positive;positive;positive;positive;positive;positive
d7fabb35ee22a2ac2b64906a450f26bb9197507a952d230da19bf4a195dbe1cf;7;2;Could quantum mechanics explain the existence of space-time?;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
d508b4daa15ec8fd62acb2a37ae1c70b15013bfe81786fe408b1f984f1a7850a;7;3;A weird physics theory is gaining traction. Another version of you might already know it.;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
cea1ee857ff66bf052c61dd4c10226bfd9bc3128c574b5033bd4d9aba32f1d72;7;4;Minuscule drums push the limits of quantum weirdness;neutral;neutral;neutral;neutral;neutral;neutral;positive;neutral
c297f9dd1ad34c426d0ba64b0b62f5a3e8d08985bc429f4d15b1fb6807ec6c75;7;5;IBM is going to sell computers millions of times faster than any ever made;positive;positive;positive;positive;positive;positive;positive;positive
3fb49c5829f403ce8579165971a9e274dd276ae1188eb0486ab1a9bfced37b6e;7;6;Chinese photonic quantum computer demonstrates quantum supremacy;positive;positive;positive;positive;positive;positive;positive;positive
567f9172509ac9c0cc5d143a4d822932d2ed7c2579a60e7df66d69a346581400;7;7;IBM Reveals Quantum Computing Leap With 127-Qubit Processor | Digital Trends;positive;positive;positive;positive;positive;positive;positive;positive
0c460d4fe2ccaf02a8ebb7f2781068508d6a1464195113843415b9e7e95b83d7;7;8;Physicists Got a Quantum Computer to Work by Blasting It With the Fibonacci Sequence;positive;positive;positive;neutral;positive;neutral;positive;neutral
7fb30b8281af8185d53cf4a066048a05413ee901ad5e61b1b5c98baa3ea4808f;7;9;Google's Quantum Computer Just Accurately Simulated a Molecule For The First Time;positive;positive;positive;positive;positive;positive;positive;positive
fc4a2f9e9a2de71d422ab19b466c6f24cfa418709ff3f4b6f79999130679194d;7;10;Physicists reverse time using quantum computer;positive;positive;positive;positive;positive;neutral;positive;positive
